id,vehicle_no,odometer,latitude,longitude,speed,distance,car_battery_voltage,dev_battery_voltage,create_date_time,beacon_date_time,source_id,distance_to_target
98133183,MH14LX0059,4062.3997,18.481966166666663,73.9419175,0.09,0.35683408,51.9596,3.6478,2025-01-01 15:29:11.000,2025-01-01 15:28:50.892,1,5764.5128139660455
98133531,MH14LL2853,2982.2563,18.455899166666665,73.85865816666667,3.1,36.851395,51.092,4.0005,2025-01-01 15:30:11.000,2025-01-01 15:29:58.868,1,10545.680910469224
98133549,MH14LX0059,4062.4028,18.481954,73.9419175,0.06,0.35985407,51.7186,3.6466,2025-01-01 15:30:11.000,2025-01-01 15:29:50.892,1,5765.7590029892535
98154471,MH14LL2853,2992.0737,18.51038433333333,73.8690335,11.04,46.668087,51.3089,4.0028,2025-01-01 16:26:18.000,2025-01-01 16:25:58.868,1,5929.203029703056
98133918,MH14LL2853,2982.3027,18.455499666666668,73.85871383333334,1.88,36.89796,51.7909,4.0005,2025-01-01 15:31:11.000,2025-01-01 15:30:58.868,1,10576.516373765673
98134347,MH14LL2853,2982.315,18.455399,73.85871016666667,1.07,36.910088,51.9837,4.0016,2025-01-01 15:32:13.000,2025-01-01 15:31:58.868,1,10585.467049475428
98134689,MH14LX0065,3790.7913,18.5313375,73.9286835,0.36,1.130428,50.7546,3.6536,2025-01-01 15:33:11.000,2025-01-01 15:32:44.156,1,798.6766969956856
98134712,MH14LL2853,2982.3784,18.45487783333333,73.85871416666667,0.72,36.973484,52.0078,4.0005,2025-01-01 15:33:11.000,2025-01-01 15:32:58.868,1,10630.365155922946
98135070,MH14LX0065,3790.8232,18.5313285,73.92856216666667,1.05,1.1624184,50.61,3.6536,2025-01-01 15:34:11.000,2025-01-01 15:34:04.156,1,785.8762105329988
98135093,MH14LL2853,2982.3928,18.454753666666665,73.8587055,0.47,36.987545,52.0801,4.0005,2025-01-01 15:34:11.000,2025-01-01 15:33:58.868,1,10641.71043696595
98135465,MH14LX0065,3790.8247,18.531330666666666,73.92856716666667,0.01,1.1640264,51.1884,3.6536,2025-01-01 15:35:11.000,2025-01-01 15:34:24.156,1,786.4364576832472
98135487,MH14LL2853,2982.5232,18.45439933333333,73.85771383333334,13.8,37.11801,51.6222,4.0005,2025-01-01 15:35:11.000,2025-01-01 15:34:58.868,1,10737.602049271407
98135855,MH14LX0065,3790.8313,18.531291,73.92860783333333,0.3,1.1705757,50.6582,3.6525,2025-01-01 15:36:11.000,2025-01-01 15:35:44.156,1,789.9626065999665
98135872,MH14LL2853,2982.8682,18.454589,73.85445183333333,18.53,37.46305,51.0197,4.0005,2025-01-01 15:36:11.000,2025-01-01 15:35:58.868,1,10940.015847542847
98136270,MH14LX0065,3790.8408,18.531285166666667,73.92864766666666,0.45,1.1799893,50.6582,3.6525,2025-01-01 15:37:12.000,2025-01-01 15:36:44.156,1,794.0135495839373
98136289,MH14LL2853,2983.0293,18.45445583333333,73.852952,13.8,37.623928,51.5017,4.0005,2025-01-01 15:37:12.000,2025-01-01 15:36:58.868,1,11053.941448839878
98136653,ZMPUN24212,2466.1995,18.5313855,73.92874916666666,1.2,0.26698315,52.779,3.9747,2025-01-01 15:38:12.000,2025-01-01 15:36:50.187,1,806.3957669126107
98136660,MH14LX0065,3790.8499,18.5313585,73.92862533333333,0.26,1.1890601,50.8269,3.6525,2025-01-01 15:38:12.000,2025-01-01 15:37:44.156,1,793.0047604186852
98136679,MH14LL2853,2983.2483,18.45465083333333,73.85130683333334,21.29,37.84304,51.574,4.0005,2025-01-01 15:38:12.000,2025-01-01 15:37:58.868,1,11151.849592193716
98136692,ZMPUN24194,2433.455,18.53117883333333,73.92956883333333,1.84,8.004222,57.9846,3.9665,2025-01-01 15:38:12.000,2025-01-01 15:37:19.590,1,888.6228661471706
98137082,MH14LL2853,2983.3914,18.455888833333333,73.85095183333334,8.8,37.98616,51.7427,4.0016,2025-01-01 15:39:12.000,2025-01-01 15:38:58.868,1,11074.597096875752
98137446,MH14LL2853,2983.5276,18.4556995,73.849721,8.86,38.122322,51.5258,4.0016,2025-01-01 15:40:12.000,2025-01-01 15:39:58.868,1,11177.559831691202
98137450,MH14LL2857,2927.9766,18.5313755,73.92887883333333,0.48,0.43302688,48.8748,4.0473,2025-01-01 15:40:12.000,2025-01-01 15:38:47.687,1,819.7111507194763
98137837,MH14LL2853,2983.6865,18.455279333333333,73.84829633333334,7.78,38.281254,51.5981,4.0016,2025-01-01 15:41:12.000,2025-01-01 15:40:58.868,1,11313.773858190116
98138272,MH14LL2853,2983.782,18.454661,73.8477295,1.66,38.376842,51.9355,4.0016,2025-01-01 15:42:14.000,2025-01-01 15:41:58.868,1,11404.668400696162
